City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,vallenar,-28.5708,-70.7581,30.1,35,0,4.4,CL,1706461396
116,dwarka,22.2394,68.9678,21.72,69,99,4.82,IN,1706461651
117,gunjur,13.2019,-16.7339,36.04,14,26,3.09,GM,1706461524
118,pangody,65.85,74.4859,-13.63,96,100,4.17,RU,1706461651
119,vadso,70.0744,29.7487,0.09,74,0,6.17,NO,1706461652
120,at taj,24.2049,23.2857,14.52,40,62,4.77,LY,1706461652
121,salamanca,40.8333,-6.0,15.88,67,100,2.09,ES,1706461652
122,corvallis,44.5646,-123.262,15.26,96,100,1.54,US,1706461652
123,talnakh,69.4865,88.3972,-11.39,94,100,5.61,RU,1706461653
124,el calafate,-50.3408,-72.2768,14.01,56,100,2.74,AR,1706461653
125,petropavlovsk-kamchatsky,53.0452,158.6483,-9.19,94,100,1.79,RU,1706461653
126,georgetown,5.4112,100.3354,28.96,76,20,4.12,MY,1706461353
127,nuuk,64.1835,-51.7216,-16.66,71,40,7.2,GL,1706461653
128,westport,41.1415,-73.3579,4.99,88,100,7.72,US,1706461490
129,aromashevo,56.8602,68.6375,-13.67,98,99,1.69,RU,1706461654
130,kailua-kona,19.6406,-155.9956,22.98,82,0,4.63,US,1706461654
131,laguna,38.421,-121.4238,15.92,94,0,2.06,US,1706461654
132,afaahiti,-17.75,-149.2833,27.93,80,67,2.19,PF,1706461655
133,mount gambier,-37.8333,140.7667,12.89,96,3,1.4,AU,1706461655
134,kombissiri,12.0656,-1.3375,31.73,10,3,3.99,BF,1706461655
135,wynyard,-41.0,145.7167,14.63,96,31,2.09,AU,1706461655
136,queenstown,-31.8976,26.8753,24.0,63,90,4.15,ZA,1706461656
137,hadibu,12.65,54.0333,25.63,79,99,3.77,YE,1706461656
138,belle fourche,44.6714,-103.8522,11.3,60,84,4.75,US,1706461656
139,pucallpa,-8.3791,-74.5539,29.02,74,75,1.03,PE,1706461656
140,bandarbeyla,9.4942,50.8122,25.63,86,100,5.27,SO,1706461657
141,sinop,41.7711,34.8709,0.63,97,100,2.04,TR,1706461511
142,neftegorsk,52.802,51.166,-15.34,99,98,1.49,RU,1706461657
143,koh kong,11.6175,102.9806,24.81,74,47,1.03,KH,1706461657
144,bengkulu,-3.8004,102.2655,24.77,93,100,2.55,ID,1706461657
145,sanctuary point,-35.1114,150.629,20.74,92,83,2.12,AU,1706461658
146,walvis bay,-22.9575,14.5053,20.61,70,100,7.68,NA,1706461658
147,mosjoen,65.836,13.1908,8.06,87,75,4.12,NO,1706461658
148,ulanhot,46.0833,122.0833,-19.36,78,48,2.91,CN,1706461658
149,fortuna,40.5982,-124.1573,16.19,94,0,4.12,US,1706461659
150,kristiansund,63.1115,7.732,10.03,81,0,2.57,NO,1706461659
151,rongelap,11.1635,166.8941,25.26,72,100,5.65,MH,1706461659
152,al khums,32.6486,14.2619,16.06,64,22,5.56,LY,1706461660
153,sisimiut,66.9395,-53.6735,-20.13,96,100,2.94,GL,1706461660
154,nelson bay,-32.7167,152.15,23.38,85,97,4.47,AU,1706461660
155,loch garman,52.3342,-6.4575,11.61,100,99,6.71,IE,1706461610
156,punta arenas,-53.15,-70.9167,16.06,51,75,12.35,CL,1706461661
157,al jawf,29.5,38.75,11.42,48,6,3.3,SA,1706461661
158,reyes,-14.3167,-67.3833,36.22,40,3,1.51,BO,1706461662
159,kendari,-3.945,122.4989,24.71,93,97,0.84,ID,1706461662
160,carnarvon,-24.8667,113.6333,22.68,78,0,9.39,AU,1706461662
161,tura,25.5198,90.2201,13.64,59,79,0.95,IN,1706461662
162,benguela,-12.5763,13.4055,28.02,73,14,3.23,AO,1706461662
163,tiksi,71.6872,128.8694,-24.74,71,11,6.25,RU,1706461663
164,tsiombe,-25.3,45.4833,23.82,84,18,6.73,MG,1706461663
165,hamilton,39.1834,-84.5333,3.97,94,100,6.69,US,1706461539
166,ponta delgada,37.7333,-25.6667,15.4,58,20,6.17,PT,1706461663
167,swift current,50.2834,-107.8014,4.24,87,7,6.54,CA,1706461628
168,happy valley-goose bay,53.3168,-60.3315,-12.83,72,100,4.63,CA,1706461584
169,crane,31.3974,-102.3501,12.73,36,1,2.96,US,1706461664
170,aasiaat,68.7098,-52.8699,-31.07,98,97,3.53,GL,1706461664
171,broken hill,-31.95,141.4333,23.95,31,0,3.29,AU,1706461665
172,merouana,35.6311,5.9119,13.61,41,20,2.5,DZ,1706461665
173,saudarkrokur,65.7461,-19.6394,-7.71,87,65,6.4,IS,1706461665
174,whitehorse,60.7161,-135.0538,-5.58,95,72,4.17,CA,1706461665
175,prince george,53.9166,-122.753,5.34,93,0,1.54,CA,1706461666
176,ambon,-3.6954,128.1814,27.08,14,40,1.54,ID,1706461666
177,kachug,53.9606,105.8817,-32.75,99,32,0.89,RU,1706461666
178,fale old settlement,-9.3852,-171.2468,29.06,73,79,2.42,TK,1706461666
179,mandalgovi,45.7625,106.2708,-22.23,100,20,1.67,MN,1706461666
180,nikolayevsk-on-amure,53.1406,140.73,-19.42,100,100,1.04,RU,1706461667
181,estebania,18.4577,-70.6435,29.61,48,5,2.77,DO,1706461667
182,praia da vitoria,38.7333,-27.0667,15.42,66,47,3.71,PT,1706461667
183,howard springs,-12.497,131.047,25.95,96,100,2.49,AU,1706461667
184,naracoorte,-36.9579,140.7383,16.38,78,0,1.21,AU,1706461668
185,badger,64.8,-147.5333,-39.07,63,75,0.0,US,1706461668
186,mogadishu,2.0371,45.3438,26.69,87,28,8.4,SO,1706461668
187,aykhal,66.0,111.5,-25.17,55,24,2.58,RU,1706461668
188,port saint john's,-31.6229,29.5448,25.57,88,91,5.95,ZA,1706461668
189,freetown,8.484,-13.2299,28.49,62,9,3.97,SL,1706461669
190,dakhla,23.6848,-15.958,21.18,56,0,5.19,EH,1706461669
191,juan de ayolas,-27.4,-56.9,30.86,39,0,1.45,PY,1706461669
192,barra de santo antonio,-9.4047,-35.5072,31.6,68,99,5.12,BR,1706461669
193,pacific,38.482,-90.7415,2.1,70,100,4.96,US,1706461669
194,lata,40.1629,-8.3327,18.29,71,100,1.88,PT,1706461670
195,yellowknife,62.456,-114.3525,-13.1,92,100,3.6,CA,1706461670
196,shingu,33.7333,135.9833,2.32,86,5,3.38,JP,1706461670
197,toccoa,34.5773,-83.3324,10.8,57,40,6.69,US,1706461670
198,oppdal,62.5943,9.6912,-1.42,90,100,8.1,NO,1706461670
199,susuman,62.7833,148.1667,-40.01,99,87,0.45,RU,1706461671
200,chonchi,-42.6128,-73.8092,19.56,34,90,0.93,CL,1706461671
201,hithadhoo,-0.6,73.0833,27.85,75,9,5.77,MV,1706461407
202,minden,52.2833,8.9167,9.12,43,40,6.17,DE,1706461672
203,hasaki,35.7333,140.8333,2.94,54,54,9.05,JP,1706461672
204,college,64.8569,-147.8028,-39.03,43,75,0.0,US,1706461672
205,zhenjiang,32.2092,119.4342,1.0,80,0,1.78,CN,1706461672
